Disease,Precaution_1,Precaution_2,Precaution_3,Precaution_4
Measles,Isolate immediately,Get vaccinated (MMR),Rest and drink fluids,See doctor immediately for complications
Chikungunya,Use mosquito repellent,Wear full-sleeve clothes,Remove stagnant water,Take paracetamol for pain
Leptospirosis,Avoid walking in floodwater,Wear rubber boots if unavoidable,Drink only clean water,Take prescribed antibiotics
Rabies,Wash bite wound with soap for 15 minutes,Go to hospital immediately for vaccine,Complete all 5 vaccine doses,Report the animal to authorities
Fungal Infection,Keep skin dry especially in skin folds,Apply antifungal cream,Wear loose cotton clothes,Do not share towels or clothing
Psoriasis,Moisturise skin daily,Avoid scratching,Use prescribed creams,Manage stress which worsens it
Eczema,Moisturise skin 2-3 times daily,Avoid harsh soaps,Use cotton clothing,Identify and avoid triggers
Acne,Wash face twice daily with mild soap,Do not pop pimples,Use oil-free sunscreen,Consult dermatologist for severe acne
Urticaria (Hives),Take antihistamine tablet,Avoid known allergens,Apply cold compress,See doctor if breathing is affected
Impetigo,Keep sores covered,Wash hands frequently,Do not touch sores,Take full antibiotic course
Arthritis,Exercise gently every day,Apply warm or cold packs,Take prescribed medicines,Maintain healthy weight
Rheumatoid Arthritis,Take medicines without fail,Do gentle joint exercises,Rest when flaring,Regular blood tests
Osteoporosis,Take calcium and vitamin D supplements,Exercise with weights,Avoid falls at home,Get bone density test
Gout,Drink 3 litres of water daily,Avoid red meat and alcohol,Take prescribed medicines,Avoid fasting
Back Pain,Apply heat pack on affected area,Do gentle stretches,Avoid heavy lifting,Maintain good sitting posture
Cervical Spondylosis,Exercise neck gently daily,Use proper pillow,Avoid looking at phone for long,Physiotherapy is helpful
Anaemia,Eat iron-rich foods like spinach and lentils,Take iron tablets as prescribed,Eat vitamin C foods to help iron absorption,Regular blood tests
Sickle Cell Disease,Stay hydrated,Avoid extreme temperatures,Take preventive antibiotics as prescribed,Regular doctor checkups
Dengue Hemorrhagic Fever,Go to hospital immediately,This is a medical emergency,Monitor for bleeding signs,Keep patient calm and comfortable
Depression,Talk to a doctor or counsellor,Do not isolate yourself,Exercise daily — even a short walk,Take prescribed medicines regularly
Anxiety Disorder,Deep breathing exercises,Regular physical exercise,Reduce caffeine,Talk to a mental health professional
Tonsillitis,Gargle with warm salt water,Eat soft cold foods,Take full course of antibiotics,Rest voice
Otitis Media,Take prescribed antibiotics,Pain relief with paracetamol,Keep ear dry,Follow up with doctor in 2 weeks
Conjunctivitis,Wash hands before and after touching eyes,Do not rub eyes,Use separate towel,Use prescribed eye drops
PCOS,Exercise regularly,Eat low-sugar diet,Maintain healthy weight,Regular gynaecology checkups
Endometriosis,Pain relief medicines,Hormonal treatment as prescribed,Heat therapy for pain,Regular gynaecology visits
Lung Cancer,Stop smoking immediately,See a doctor urgently,Avoid secondhand smoke,Get chest X-ray done
Stomach Cancer,See a doctor urgently,Avoid salty and smoked foods,Avoid alcohol and smoking,Treat H. pylori infection
Allergic Rhinitis,Avoid known allergens,Keep windows closed during pollen season,Use antihistamine medicines,Try nasal steroid spray
Drug Allergy,Stop the medicine immediately,See doctor urgently,Tell all doctors about your allergy,Wear a medical alert bracelet
Anaphylaxis,Use epinephrine auto-injector if available,Call emergency services immediately,Lie down with legs raised,Stay with patient until help arrives
Dehydration,Drink water or ORS immediately,Avoid tea and coffee,Eat water-rich fruits,See doctor if not improving
Heat Stroke,Move to cool place immediately,Pour cool water on body,Fan vigorously,Call emergency services
Malnutrition,Eat balanced diet with protein dal eggs meat,Eat fruits and vegetables daily,Get nutritional supplements if needed,Feed children 5 times a day
Worm Infestation,Take deworming tablet as advised,Wash hands before eating,Do not walk barefoot,Wash vegetables and fruits before eating
Scabies,Apply prescribed lotion to whole body,Wash all clothes and bedding in hot water,Treat all family members simultaneously,Do not share clothing or towels
Piles (Haemorrhoids),Eat high-fibre diet,Drink plenty of water,Do not strain during bowel movements,Sitz bath in warm water
